TID	Symbol	group	GID	AnnotationSymbol	Name
FBgn0029157	ssh	sample	FBgn0029157	CG6238	slingshot
FBgn0029958	Pdp	sample	FBgn0029958	CG12151	Pyruvate dehydrogenase phosphatase
FBgn0030556	mRNA-capping-enzyme	sample	FBgn0030556	CG1810	mRNA-capping-enzyme
FBgn0030735	CG3632	sample	FBgn0030735	CG3632	CG3632
FBgn0030758	CanA-14F	sample	FBgn0030758	CG9819	Calcineurin A at 14F
FBgn0030761	CG9784	sample	FBgn0030761	CG9784	CG9784
FBgn0031044	MKP-4	sample	FBgn0031044	CG14211	MAPK Phosphatase 4
FBgn0031194	CG17598	sample	FBgn0031194	CG17598	CG17598
FBgn0031799	Pez	sample	FBgn0031799	CG9493	Pez
FBgn0031952	cdc14	sample	FBgn0031952	CG7134	cdc14
FBgn0032702	CG10376	sample	FBgn0032702	CG10376	CG10376
FBgn0033021	CG10417	sample	FBgn0033021	CG10417	CG10417
FBgn0034179	CG6805	sample	FBgn0034179	CG6805	CG6805
FBgn0034691	synj	sample	FBgn0034691	CG6562	synaptojanin
FBgn0035133	Ptpmeg	sample	FBgn0035133	CG1228	Ptpmeg
FBgn0035425	CG17746	sample	FBgn0035425	CG17746	CG17746
FBgn0036273	CG10426	sample	FBgn0036273	CG10426	CG10426
FBgn0036369	CG10089	sample	FBgn0036369	CG10089	CG10089
FBgn0036448	mop	sample	FBgn0036448	CG9311	myopic
FBgn0036551	CG17029	sample	FBgn0036551	CG17029	CG17029
FBgn0036844	Mkp3	sample	FBgn0036844	CG14080	Mitogen-activated protein kinase phosphatase 3
FBgn0037063	CG9391	sample	FBgn0037063	CG9391	CG9391
FBgn0037341	CG12746	sample	FBgn0037341	CG12746	CG12746
FBgn0039111	Plip	sample	FBgn0039111	CG10371	PTEN-like phosphatase
FBgn0003256	rl	sample	FBgn0003256	rl	rl
FBgn0041087	wun2	sample	FBgn0041087	CG8805	wunen-2
FBgn0043903	dome	sample	FBgn0043903	CG14226	domeless
FBgn0062449	CG13197	sample	FBgn0062449	CG13197	CG13197
FBgn0086361	alph	sample	FBgn0086361	CG1906	alphabet
Ctrl_CSN4_1	Ctrl_CSN4_1	pos	Ctrl_CSN4_1	CG8725	CSN4_1
FBgn0259178	5PtaseI	sample	FBgn0259178	CG42283	5PtaseI
FBgn0259227	CG42327	sample	FBgn0259227	CG42327	CG42327
Ctrl_th_2	Ctrl_th_2	pos	Ctrl_th_2	CG12284	th_2
Ctrl_CSN3_1	Ctrl_CSN3_1	pos	Ctrl_CSN3_1	CG18332	CSN3_1
Ctrl_pbl_1	Ctrl_pbl_1	pos	Ctrl_pbl_1	CG8114	pbl_1
